,hydrophobic_sasa,salt_bridges,packing_density,contact_order,ddG
106,41.093918,66,9.273972602739725,0.024888688473975854,0.7580000000000001
107,35.24689,22,8.8989898989899,0.01676299537262104,-0.3
108,14.818059,21,10.13740458015267,0.05144189991518236,-2.15
109,11.491982,14,9.6,0.04668655444278713,0.6729305912596402
110,63.057404,11,7.306306306306307,0.01924409616717309,0.6291666666666687
111,32.94066,30,8.874213836477987,0.06745026553979941,1.0789259259259263
112,15.863096,11,10.033519553072626,0.06165085451720604,-0.5433333333333333
113,16.687504,11,9.798882681564246,0.06178243082743149,-0.5433333333333333
114,8.701574,13,8.870967741935484,0.08226805153300709,2.2204347826086965
115,69.29523,57,9.300184162062616,0.024268856593802547,3.4538461538461536
116,51.848698,60,10.022408963585434,0.03160241917403413,1.0333333333333334
117,20.267408,23,8.412213740458014,0.09087372976126805,2.8111538461538457
118,10.07713,4,8.231884057971014,0.14986824769433466,0.5037037037037038
119,13.693029,10,8.78048780487805,0.06335128286347798,-0.2808333333333333
120,15.133295,31,9.0,0.07642233594220349,1.9714285714285713
121,8.087462,10,10.101694915254237,0.18668631785802012,-1.1500000000000001
122,39.003075,13,8.666666666666666,0.09651469842435689,0.7938095238095237
123,15.536412,23,9.137254901960784,0.10604829151004097,1.9274137931034474
124,31.319572,55,9.419558359621451,0.035062374533983365,1.5845454545454558
125,6.4052725,8,9.557142857142857,0.12614213197969543,0.25
126,8.052585,8,9.788235294117648,0.13101604278074866,-0.8263636363636364
127,28.626965,98,9.62079510703364,0.01716365052350309,0.001666666666666668
128,73.30995,84,9.682584269662922,0.03552938419825268,3.89
129,19.076176,20,9.140096618357488,0.0699548936397363,0.5115625000000004
130,17.734058,18,8.955974842767295,0.10627810584601598,1.078925925925926
131,57.814434,87,9.928902627511592,0.030710407276434936,0.38997578692493945
132,7.202994,15,8.491228070175438,0.17506532288167226,0.938394160583941
133,14.891372,14,9.024390243902438,0.06418613735686907,-0.24666666666666667
134,54.836765,59,10.073239436619719,0.03263810987854363,1.0333333333333334
135,25.363684,80,9.780821917808218,0.046972644125315564,1.2233333333333338
136,17.682137,6,8.677083333333334,0.06600497903563941,0.332240437158469
137,23.978401,71,9.686486486486487,0.0690963690963691,1.379431818181818
138,18.708992,25,9.187096774193549,0.09605078615191555,-0.15429149797570843
139,11.579369,8,9.410852713178295,0.05117992205233629,0.9909923664122139
140,32.125,77,9.57421875,0.03880160812043796,1.6668316831683416
141,45.73678,117,10.156808803301239,0.011758683540024238,0.55875
142,37.483433,55,9.14975845410628,0.030956965739574436,1.3375000000000001
143,58.659115,80,9.65032679738562,0.031783159053384705,0.38997578692494367
144,13.718323,17,9.256198347107437,0.051175142084232995,0.05274509803921574
145,7.3543463,9,9.057471264367816,0.138438812722153,-0.534
146,5.2720947,15,8.826666666666666,0.045066666666666665,1.948181818181819
147,32.07986,37,9.266490765171504,0.07791894479418764,0.0
148,32.320267,34,10.830357142857142,0.033887486794224674,-1.9
149,39.560116,94,9.817813765182187,0.033000526087055976,-0.55
150,52.92501,45,9.718260869565217,0.030256366962149995,0.925
151,7.503795,12,8.538461538461538,0.05697474167623421,-0.6557142857142857
152,10.692616,56,10.054474708171206,0.0648057595871741,0.41499999999999987
153,16.744144,40,10.855555555555556,0.059248170326014635,0.3459999999999999
154,33.08846,43,8.580246913580247,0.021121161663891514,1.5705907172995788
155,17.17782,30,10.795918367346939,0.023703231292517005,0.938394160583941
156,15.734804,34,9.206106870229007,0.10676420695504665,0.26844444444444443
157,23.807127,37,9.853211009174313,0.05205063978754225,1.81875
158,8.702726,6,10.32183908045977,0.12509017457798297,-0.534
159,26.881172,141,9.7890625,0.03608183808379121,0.9111111111111112
160,24.395372,37,10.863468634686347,0.05115421982402766,3.4
161,12.267432,17,10.464,0.06864596273291926,0.9081967213114754
162,10.346689,12,8.777777777777779,0.0412257495590829,2.8562499999999997
163,8.171985,11,9.24561403508772,0.15294886151549086,0.9695652173913044
